"CATEGORY","iconUrl"
"3-8 SCHOOL","Elementaryschoolish.png"
"5-8 SCHOOL","Middleschoolish.png"
"7-12 SCHOOL","Highschoolish.png"
"7-8 SCHOOL","Middleschoolish.png"
"COLLEGE","Universityish.png"
"EDUCATIONAL FACILITY","Unknown.png"
"ELEMENTARY SCHOOL","Elementaryschoolish.png"
"HIGH SCHOOL","Highschoolish.png"
"INTERMEDIATE SCHOOL","Middleschoolish.png"
"K- 6 SCHOOL","Elementaryschoolish.png"
"K-12 SCHOOL","Highschoolish.png"
"K-4 SCHOOL","Elementaryschoolish.png"
"K-6 SCHOOL","Elementaryschoolish.png"
"K-8 SCHOOL","Elementaryschoolish.png"
"MIDDLE SCHOOL","Middleschoolish.png"
"MIDDLE/HIGH SCHOOL","Highschoolish.png"
"RELIGIOUS SCHOOL","Unknown.png"
"RELIGIOUS SCHOOL K-6","Unknown.png"
"RELIGIOUS SCHOOL K-8","Unknown.png"
"SPECIAL EDUCATION","Unknown.png"
"UNIVERSITY","Universityish.png"
